ip;network-operator;router vendor;model version;firmware version;successful protocols;Geo;AS-Number;BGP-Prefix;Org
102.215.99.95;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.96;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.97;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.215.99.98;;Ubiquiti;;;http80,https443,ssh;SWZ;329095.0;102.215.99.0/24;AFRIMETRO-AS
102.216.32.167;;;;;http80,http8080;NGA;37347.0;102.216.32.0/24;NGCOM
102.216.32.40;;;;;http80,https443,ssh;NGA;37347.0;102.216.32.0/24;NGCOM
102.216.32.52;;ZTE;;;http80,https443;NGA;37347.0;102.216.32.0/24;NGCOM
102.216.33.196;;;;V2.5;http80,https443,ssh;NGA;37347.0;102.216.33.0/24;NGCOM
102.216.33.61;;;Linux jerimia_ufomba 2.6.32.27 #1 Mon May 31 20:47:46 UTC 2021 mips;;http80,snmp,ssh;NGA;37347.0;102.216.33.0/24;NGCOM
102.216.34.236;;ZTE;;;http80,https443;NGA;37347.0;102.216.34.0/24;NGCOM
102.216.34.240;;ZTE;;;http80;NGA;37347.0;102.216.34.0/24;NGCOM
102.216.34.253;;ZTE;;;http80,https443;NGA;37347.0;102.216.34.0/24;NGCOM
102.216.34.56;;ZTE;;;http80,https443;NGA;37347.0;102.216.34.0/24;NGCOM
102.216.75.120;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp;ZAF;329028.0;102.216.74.0/23;RNL1-AS
102.218.174.81;;;;;http80,https443,ssh;LBY;328733.0;102.218.174.0/24;Awal-Telecom
102.219.182.58;;Mikrotik;RB1100AHx2;RouterOS;snmp;MWI;328919.0;102.219.182.0/24;OCL-AS
102.22.216.124;;;;;http80;NGA;37347.0;102.22.216.0/24;NGCOM
102.22.216.141;;ZTE;;;http80,https443;NGA;37347.0;102.22.216.0/24;NGCOM
102.22.216.17;;;;;http80,http8080,https443;NGA;37347.0;102.22.216.0/24;NGCOM
102.22.216.31;;;;;http80;NGA;37347.0;102.22.216.0/24;NGCOM
102.22.217.106;;;;;http80;NGA;37347.0;102.22.217.0/24;NGCOM
102.22.217.119;;;;;http80,https443,ssh;NGA;37347.0;102.22.217.0/24;NGCOM
102.22.217.158;;;;;http80,https443;NGA;37347.0;102.22.217.0/24;NGCOM
102.22.217.24;;ZTE;;;http80,https443;NGA;37347.0;102.22.217.0/24;NGCOM
102.22.217.4;;ZTE;;;http80,https443;NGA;37347.0;102.22.217.0/24;NGCOM
102.22.217.57;;;;;http80,http8080,https443;NGA;37347.0;102.22.217.0/24;NGCOM
102.22.218.110;;ZTE;;;http80,https443;NGA;37347.0;102.22.218.0/24;NGCOM
102.22.218.161;;ZTE;;;http80,https443;NGA;37347.0;102.22.218.0/24;NGCOM
102.22.219.107;;;;;http80,https443,ssh;NGA;37347.0;102.22.219.0/24;NGCOM
102.22.219.29;;;;;http80,https443;NGA;37347.0;102.22.219.0/24;NGCOM
102.22.219.91;;ZTE;;;http80,https443;NGA;37347.0;102.22.219.0/24;NGCOM
102.22.220.125;;;Linux ALEXANDER TORITSEJU YALAJU 2.6.32.27 #1 Mon Feb 8 10:46:33 UTC 2021 mips;;http80,snmp,ssh;NGA;37347.0;102.22.220.0/24;NGCOM
102.22.220.129;;;;;http80,https443,ssh;NGA;37347.0;102.22.220.0/24;NGCOM
102.22.220.135;;;;;http80,http8080,https443;NGA;37347.0;102.22.220.0/24;NGCOM
102.22.220.179;;ZTE;;;http80,https443;NGA;37347.0;102.22.220.0/24;NGCOM
102.22.220.216;;ZTE;;;http80,https443;NGA;37347.0;102.22.220.0/24;NGCOM
102.22.220.246;;;;V2.5;http80,ssh;NGA;37347.0;102.22.220.0/24;NGCOM
102.22.220.254;;ZTE;;;http80,https443;NGA;37347.0;102.22.220.0/24;NGCOM
102.22.221.194;;ZTE;;;http80,http8080,https443;NGA;37347.0;102.22.221.0/24;NGCOM
102.22.221.62;;ZTE;;;http80,https443;NGA;37347.0;102.22.221.0/24;NGCOM
102.22.221.69;;;;;http80;NGA;37347.0;102.22.221.0/24;NGCOM
102.22.221.70;;ZTE;;;http80,https443;NGA;37347.0;102.22.221.0/24;NGCOM
102.22.222.108;;ZTE;;;http80,https443;NGA;37347.0;102.22.222.0/24;NGCOM
102.22.222.134;;ZTE;;;http80,https443;NGA;37347.0;102.22.222.0/24;NGCOM
102.22.222.17;;;;;http80;NGA;37347.0;102.22.222.0/24;NGCOM
102.22.222.176;;ZTE;;;http80,https443;NGA;37347.0;102.22.222.0/24;NGCOM
102.22.222.34;;ZTE;;;http80,https443;NGA;37347.0;102.22.222.0/24;NGCOM
102.22.222.38;;ZTE;;;http80,https443;NGA;37347.0;102.22.222.0/24;NGCOM
102.22.222.63;;;;;http80,https443,ssh;NGA;37347.0;102.22.222.0/24;NGCOM
102.220.142.202;;Mikrotik;RB4011iGS+;RouterOS;snmp;LBY;21003.0;102.220.142.0/24;GPTC-AS
102.221.44.154;;ZTE;;;http80,https443;NGA;37347.0;102.221.44.0/24;NGCOM
102.221.45.188;;;;;http80,ssh;NGA;37347.0;102.221.45.0/24;NGCOM
102.221.45.220;;ZTE;;;http80,https443;NGA;37347.0;102.221.45.0/24;NGCOM
102.221.45.249;;;;;http80,https443,ssh;NGA;37347.0;102.221.45.0/24;NGCOM
102.221.45.51;;ZTE;;;http80,https443;NGA;37347.0;102.221.45.0/24;NGCOM
102.221.45.58;;;;;http80,https443,ssh;NGA;37347.0;102.221.45.0/24;NGCOM
102.221.46.10;;ZTE;;;http80,http8080;NGA;37347.0;102.221.46.0/24;NGCOM
102.221.46.29;;ZTE;;;http80,https443;NGA;37347.0;102.221.46.0/24;NGCOM
102.221.46.34;;;;;http80,https443;NGA;37347.0;102.221.46.0/24;NGCOM
102.222.240.10;;Mikrotik;RB5009UG+S+;RouterOS;snmp;ZAF;328464.0;102.222.240.0/24;TCS-Wi-Fi
102.222.240.20;;Mikrotik;C53UiG+5HPaxD2HPaxD;RouterOS;snmp;ZAF;328464.0;102.222.240.0/24;TCS-Wi-Fi
102.222.240.5;;;;;http80,http8080;ZAF;328464.0;102.222.240.0/24;TCS-Wi-Fi
102.222.241.20;;Mikrotik;RBD53iG-5HacD2HnD;RouterOS;snmp;ZAF;328464.0;102.222.241.0/24;TCS-Wi-Fi
102.222.242.128;;Mikrotik;RB750GL;RouterOS;snmp;ZAF;328464.0;102.222.242.0/24;TCS-Wi-Fi
102.222.243.116;;Mikrotik;RB750Gr3;RouterOS;snmp;ZAF;328464.0;102.222.243.0/24;TCS-Wi-Fi
102.222.243.250;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp;ZAF;328464.0;102.222.243.0/24;TCS-Wi-Fi
102.222.243.251;;Mikrotik;CCR2116-12G-4S+;RouterOS;snmp;ZAF;328464.0;102.222.243.0/24;TCS-Wi-Fi
102.222.243.30;;Mikrotik;RB5009UG+S+;RouterOS;snmp;ZAF;328464.0;102.222.243.0/24;TCS-Wi-Fi
102.223.208.3;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp;COD;328618.0;102.223.208.0/24;OLIVERSOFT
102.223.34.1;;Mikrotik;;RouterOS;http80;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.101;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.105;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.109;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.113;;Mikrotik;;RouterOS;http80;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.114;;Mikrotik;;RouterOS;http80;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.117;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.14;;;;;http80,https443;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.2;;;;;http80,https443,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.24;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.33;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.34;;;;;ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.37;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.38;;;;;ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.41;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.42;;;;;ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.45;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.53;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.57;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.6;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.61;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.73;;Mikrotik;;RouterOS;http80;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.74;;;;;http80,http8080,https443,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.77;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.81;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.89;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.9;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.34.93;;Mikrotik;;RouterOS;http80,ssh;KEN;328652.0;102.223.34.0/24;Hirani-Telecommunication
102.223.35.11;;ZTE;;;http80,http8080;KEN;328652.0;102.223.35.0/24;Hirani-Telecommunication
102.223.35.17;;;;;http80,http8080,https443;KEN;328652.0;102.223.35.0/24;Hirani-Telecommunication
102.223.35.20;;;;;https443,ssh;KEN;328652.0;102.223.35.0/24;Hirani-Telecommunication
102.223.35.22;;;;;http80,http8080,https443;KEN;328652.0;102.223.35.0/24;Hirani-Telecommunication
102.223.35.26;;;RB0Av;;http80,http8080,https443,ssh;KEN;328652.0;102.223.35.0/24;Hirani-Telecommunication
102.223.35.4;;;;;https443;KEN;328652.0;102.223.35.0/24;Hirani-Telecommunication
102.223.35.67;;;;;http80,http8080;KEN;328652.0;102.223.35.0/24;Hirani-Telecommunication
102.223.35.69;;Hikvision;;;http80;KEN;328652.0;102.223.35.0/24;Hirani-Telecommunication
102.223.35.7;;;;;http80,http8080,https443;KEN;328652.0;102.223.35.0/24;Hirani-Telecommunication
102.23.177.17;;Mikrotik;RBD52G-5HacD2HnD;RouterOS;snmp;ZAF;37731.0;102.23.177.0/24;AS-WECOM
102.23.208.42;;Mikrotik;CCR1009-7G-1C;RouterOS;snmp;ZAF;328547.0;102.23.208.0/21;Devinity-AS
102.33.61.114;;Mikrotik;RB2011iL;RouterOS;snmp;ZAF;327782.0;102.32.0.0/15;METROFIBRE-NETWORX
102.33.85.106;;Mikrotik;RB750r2;RouterOS;snmp;ZAF;327782.0;102.32.0.0/15;METROFIBRE-NETWORX
102.33.90.72;;Mikrotik;RB760iGS;RouterOS;snmp;ZAF;327782.0;102.32.0.0/15;METROFIBRE-NETWORX
102.36.127.15;;Mikrotik;CCR1016-12G;RouterOS;snmp;ZAF;327794.0;102.36.0.0/17;CLEAR-ACCESS
102.67.160.42;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS;snmp;ZMB;328570.0;102.67.160.0/22;Fibrecom-Limited
102.69.206.7;;Mikrotik;CCR1016-12S-1S+;RouterOS;snmp;ZAF;37549.0;102.69.206.0/24;Triponza
102.69.241.254;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp;NGA;328457.0;102.69.241.0/24;Brainshare-Technologies-AS
102.90.16.18;;Mikrotik;CCR1036-12G-4S;RouterOS;snmp;NGA;29465.0;102.90.16.0/24;VCG-AS
103.10.208.10;;Mikrotik;x86;RouterOS;snmp;IND;45804.0;103.10.208.0/24;MEGHBELA-IN MEGHBELA BROADBAND
103.10.208.14;;Mikrotik;x86;RouterOS;snmp;IND;45804.0;103.10.208.0/24;MEGHBELA-IN MEGHBELA BROADBAND
103.10.208.225;;Mikrotik;x86;RouterOS;snmp;IND;45804.0;103.10.208.0/24;MEGHBELA-IN MEGHBELA BROADBAND
103.10.208.229;;Fortinet;;;http80,http8080,https443;IND;45804.0;103.10.208.0/24;MEGHBELA-IN MEGHBELA BROADBAND
103.10.208.233;;;;;http80,ssh;IND;45804.0;103.10.208.0/24;MEGHBELA-IN MEGHBELA BROADBAND
