ip;network-operator;router vendor;model version;firmware version;successful protocols
103.104.234.77;;;;;http80,https443
103.104.234.82;;Mikrotik;;RouterOS,v6.43.5;http80,ssh
103.104.235.14;;;;;http80,http8080,https443
103.104.235.150;;;;;http80,http8080,https443
103.104.235.19;;Mikrotik;RB2011UiAS;RouterOS;https443,snmp
103.104.235.53;;;;;http80
103.105.103.1;;Mikrotik;x86;RouterOS;snmp
103.105.103.105;;Mikrotik;CCR1009-7G-1C-1S+;RouterOS,v6.49.17;http80,snmp
103.105.103.108;;;;;http80
103.105.103.109;;;;;http80,https443
103.105.103.12;;TP-Link;3G/4G Wireless N Router,TL-MR3420;;http80,http8080,https443
103.105.103.140;;;;;http80
103.105.103.158;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.105.103.17;;Mikrotik;x86;RouterOS;snmp
103.105.103.18;;;;;http8080,https443
103.105.103.19;;;;;http80,https443
103.105.103.194;;Mikrotik;x86;RouterOS;snmp
103.105.103.20;;;;;http8080,https443
103.105.103.202;;Mikrotik;CCR1036-8G-2S+;RouterOS;snmp
103.105.103.209;;Mikrotik;x86;RouterOS;snmp
103.105.103.212;;;;;http8080,https443,ssh
103.105.103.225;;Mikrotik;x86;RouterOS;snmp
103.105.103.226;;Mikrotik;x86;RouterOS;snmp
103.105.103.228;;;;;http80
103.105.103.23;;;;;http80,http8080
103.105.103.230;;;;;http80,http8080,https443
103.105.103.232;;;;;http80
103.105.103.233;;TP-Link;3G/4G Wireless N Router,TL-MR3420;;http80,http8080
103.105.103.234;;TP-Link;3G/4G Wireless N Router,TL-MR3420;;http80,http8080,https443
103.105.103.236;;;;;http80,http8080
103.105.103.237;;;;;http80
103.105.103.238;;;;;http80,http8080
103.105.103.24;;Hikvision;;;http80
103.105.103.25;;;;;http80,http8080
103.105.103.26;;TP-Link;300Mbps Wireless N Router,TL-WR850N;;http80,http8080
103.105.103.8;;;DVR;;http80
103.105.176.33;;Mikrotik;RB450G;RouterOS;snmp
103.105.176.8;;Mikrotik;RB450G;RouterOS;snmp
103.105.41.17;;Hikvision;;;http80
103.105.41.18;;;;;http80,https443,ssh
103.105.41.21;;Hikvision;;;http80
103.105.41.24;;;;;http80
103.105.41.248;;Hikvision;before,border;;http80
103.105.41.25;;Hikvision;;;http80
103.105.41.3;;Hikvision;;;http80
103.105.42.100;;Hikvision;;;http80
103.105.42.102;;Hikvision;;;http80
103.105.42.115;;Hikvision;;;http80
103.105.42.133;;Hikvision;before,border;;http80,https443
103.105.42.136;;Hikvision;;;http80
103.105.42.139;;Hikvision;;;http80
103.105.42.146;;Hikvision;;;http80
103.105.42.161;;;;;http80
103.105.42.162;;Hikvision;;;http80,https443
103.105.42.166;;Hikvision;;;http80
103.105.42.174;;;;;https443,ssh
103.105.42.192;;Hikvision;;;http80,https443
103.105.42.22;;Hikvision;;;http80
103.105.42.35;;;;;http80
103.105.42.39;;Hikvision;;;http80
103.105.42.47;;Hikvision;;;http80
103.105.42.48;;Hikvision;;;http80
103.105.42.50;;;;;http80,http8080,https443,ssh
103.105.42.51;;Hikvision;;;http80
103.105.42.59;;;;;http80
103.105.42.61;;Hikvision;;;http80
103.105.42.66;;Hikvision;;;http80
103.105.42.76;;Hikvision;;;http80
103.105.42.79;;Hikvision;;;http80
103.105.42.87;;Hikvision;;;http80
103.105.42.88;;;;;http80
103.105.42.90;;Hikvision;;;http80
103.105.42.93;;Hikvision;;;http80
103.105.42.96;;;;;http80
